,modern,playful,clumsy,sharp,graceful,angular,strong,attention-grabbing,artistic,attractive,complex,calm,friendly,happy,legible,sloppy,warm,delicate,charming,formal,wide,disorderly,gentle,technical,boring,pretentious,bad,dramatic,thin,fresh,soft
Tinos-Bold,55.5137680533,32.8366896385,26.1135274934,74.8894965838,79.2566418962,46.4148755324,68.1475344994,54.1456035762,29.454181676,63.9668495237,41.3548644325,75.5384447606,83.9475391887,55.689358266,88.0044655243,8.89867744254,80.4144682285,33.0716764602,52.7142302858,76.0046546076,50.8851460296,12.5283137774,81.8349961499,48.6400446382,45.1049676423,55.9468953135,13.1360018712,34.8959489695,43.0998840811,91.8536906246,48.2228458347
TitanOne,36.987407133,52.04757032,58.5475805476,29.9898850782,48.9633231816,26.962286008,76.4870814854,97.2797804605,41.0492823248,45.2908721202,64.0424674839,42.7441526422,33.1536363454,15.3738908846,56.0359180299,21.6771799344,86.8652162498,13.3262060376,49.0572962344,39.5233439875,58.4264107195,48.0055788972,51.0736618637,44.9298904194,61.3232957838,46.2698511727,50.2631306849,58.2720535532,5.73190465819,67.2790663397,21.3889433836
TitilliumWeb-Black,31.5611002583,34.673190306,63.1189141426,33.6062523784,52.665707651,6.90538759291,75.5702117741,68.343576499,31.3768652299,26.7603416499,60.4345161591,41.7234632042,30.4977043118,27.0940707743,24.8923727173,2.65819269951,61.2601983972,9.6370017232,49.9588062005,54.8108388487,52.831755402,48.1479080475,61.837416336,35.9761641289,61.4785218046,59.9152920414,87.9666501913,35.6900630671,27.5654212395,57.5214433135,34.4304552059
TitilliumWeb-ThinItalic,16.7793944,36.2369575738,43.5089519004,74.6680745883,38.2462235757,68.038117687,12.4969982717,24.8394571308,33.8467620697,10.9222529932,20.5297776696,72.617334573,59.8406402112,15.1385127988,36.1562910108,68.8677990432,0.0,49.0398787558,37.9592746223,36.3029453915,41.4252376271,44.3664887682,65.9962604609,25.2822286254,68.9584372515,9.09409622285,45.9839093039,22.0138623291,77.5142182424,68.4623091972,91.3760593911
Trochut,62.1127030553,64.9696885756,49.8738550499,71.8813567319,54.1418461236,50.9301181944,48.0480361017,44.8795713616,61.361282359,46.2738191357,67.3439676265,81.051241179,79.9548100447,39.8978493578,41.3497844491,48.3484692592,71.4619112783,65.8479579603,65.9259642133,53.1421843669,41.3395837605,45.0845171127,74.5151485304,86.9983933742,40.3108703145,45.3970014011,45.881731699,52.3868602822,54.8949483123,73.1018376273,75.8231875709
Trochut-Italic,58.1413593782,57.4668172365,65.6429553426,58.8115848931,77.1331116113,68.5551008256,44.5854929832,46.959068757,81.0761156286,52.4976732323,54.9772629332,73.6201098432,78.5031342204,51.9380597518,44.7614009371,74.3994057034,59.3037984023,53.3263260075,61.8385784202,41.3111392813,39.348031296,50.1873339796,82.6830526006,78.5561892808,36.8474469822,46.7012456895,51.3699557217,71.568993536,59.9170607901,79.3875004362,74.9992602181
Tuffy-BoldItalic,50.5303162416,42.1412762708,36.4313201013,54.879168193,71.6296813024,59.4714932974,62.098696937,69.1319815692,51.5739247287,68.5754658411,44.1794484664,68.4668647934,91.9632592756,54.9578654362,88.9744182572,50.6012447032,80.343187193,50.7933968454,61.3967884539,62.2211686638,49.782382726,40.1463869066,78.5605963589,41.1491364156,27.1222918592,40.3183750279,41.6028857978,18.6231378244,47.3159636165,77.9691686635,44.0641386408
Tulpen,38.1043393324,34.8674527464,71.0757545005,55.4119122533,39.6725277136,44.9632040575,1.70979163435,19.1103797299,43.1636950831,15.4143555092,62.2677999015,63.8682084715,16.3075021422,12.3596411881,0.0,43.1746265332,35.7740912906,56.1552870707,43.2379332888,18.6382270242,26.6700442066,47.6864597773,67.5561079302,32.656250027,83.7371634531,25.6489128415,63.7526677244,44.993226463,85.8876566274,33.8330786848,71.767254272
Ubuntu-Italic,39.333317615,38.1323786169,39.7781971432,76.2109701803,81.0946198145,78.864341759,42.4191071679,49.182355742,56.2323608307,54.574670758,30.1246762987,70.9868850599,70.8083472586,57.0745625407,75.6787508039,57.443868581,53.1972801596,52.5111558549,64.1863665982,59.2080979171,50.8878798086,55.2467861846,83.2053507042,24.6868944892,36.9963308757,18.5599745384,32.2967986966,43.0614689755,48.5063822083,92.3107223436,71.334095187
UbuntuCondensed-Regular,42.9465925877,46.5550208381,23.8532411525,60.0503225143,70.6924594389,29.7372936402,58.8173539916,32.5447135759,41.6408828364,45.3167524388,24.4267233399,86.7662570367,75.2419846064,46.0733088483,61.5545595749,35.7166526361,54.9238269661,42.4942573315,50.7174635803,57.5879749633,42.7755844453,22.4096524011,81.4706466016,29.8036355845,50.4754954489,30.4027991585,32.6572638881,27.3075080349,55.3091569699,84.7603874939,62.5495750589
UbuntuMono-Bold,48.9582377119,55.4567406032,52.1497095954,34.5480509376,58.6867438192,37.5635457785,59.5738910044,46.7551373221,44.1697663788,41.3966595349,48.2224584125,53.9882415707,56.0330244403,40.4327188613,42.4127511409,49.7185042728,53.2419792816,34.5802558537,49.0136057092,56.6940437668,48.2892599141,59.7276323896,54.552320907,61.2956960768,73.7369242077,51.2816221174,47.7638793414,55.3904100485,33.742401983,86.2120107168,50.8429065458
UbuntuMono-Italic,70.9081095931,59.1787720924,64.7692589462,38.8802684283,69.1174938764,87.1570966395,32.9526533504,42.9943435235,49.2115957229,45.2505592076,57.2445265134,72.9012004041,84.7947188852,56.9647187721,42.9533785599,68.747004714,66.9722786067,68.4992344492,64.2343130448,44.8411990608,45.6185485731,53.689419168,73.1535369464,58.7151771684,68.3362275497,46.7453358746,45.7028779958,45.9989018981,59.4089811731,78.9805521679,68.687599353
Voltaire,32.9411658152,36.2312004149,30.9801799774,71.9161165803,58.5908329128,42.5568319833,53.7612421497,36.0581190189,33.0992719276,39.5194987651,41.9057591834,86.2239776847,88.5811044903,49.0775571464,71.1461063241,31.8720951348,56.6988543361,55.9596841297,57.819151061,52.8274063432,39.5923627351,33.27369598,74.5688312672,34.0809013687,51.4867388498,32.9160591369,27.2375115861,31.8601243445,53.3937627963,87.3343285967,76.1212097062
Wellfleet-Regular,54.3359483689,31.8033652242,41.8763393876,63.9058242675,71.6441930744,57.4007645541,75.2521360011,47.6928287351,44.7200050235,63.1627124419,45.4493714885,64.7340383554,66.3078428032,58.8208149406,64.020431409,31.460690894,66.6109390114,51.0119933468,67.9467088108,39.9601890746,56.41532781,37.7679457171,84.0437487967,70.9922718535,31.5460656983,61.128584528,32.7955645926,44.1090225805,44.2254725917,95.6668378677,39.171729525
YanoneTagesschrift,48.2676310208,72.568747128,60.5077581353,52.5043993096,81.8064027194,26.2143250634,56.1938751581,60.0889487021,56.0406812675,58.1618600095,71.438088356,43.451580312,70.8357140011,66.6222205598,53.8714901397,42.7111143367,87.658123523,47.1681971425,71.3896792413,54.9306332296,51.3471240519,53.5259244614,77.2971823249,62.1711348349,68.329336255,62.5304402623,53.7563370184,69.6399329373,38.3701610303,73.8651789541,46.9904213121
